Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
AVGO,Broadcom Inc.
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
TSLA,"Tesla, Inc."
PLTR,Palantir Technologies
NFLX,Netflix
AMD,Advanced Micro Devices Inc.
ASML,ASML Holding
COST,Costco
CSCO,Cisco
MU,Micron Technology
AZN,AstraZeneca
TMUS,T-Mobile US
SHOP,Shopify
APP,Applovin Corp
LRCX,Lam Research
PEP,PepsiCo
QCOM,Qualcomm
LIN,Linde plc
ISRG,Intuitive Surgical
PDD,PDD Holdings
AMAT,Applied Materials
INTU,Intuit
INTC,Intel
ARM,Arm Holdings
BKNG,Booking Holdings
KLAC,KLA Corporation
AMGN,Amgen
GILD,Gilead Sciences
PANW,Palo Alto Networks
TXN,Texas Instruments
ADBE,Adobe Inc.
CRWD,CrowdStrike
HON,Honeywell
CEG,Constellation Energy
MELI,MercadoLibre
ADI,Analog Devices
VRTX,Vertex Pharmaceuticals
ADP,ADP
DASH,DoorDash
CMCSA,Comcast
SBUX,Starbucks
CDNS,Cadence Design Systems
SNPS,Synopsys
MRVL,Marvell Technology
ABNB,Airbnb
ORLY,O'Reilly Automotive
MSTR,MicroStrategy Inc.
MDLZ,Mondelez International
CTAS,Cintas
MAR,Marriott International
TRI,Thomson Reuters Corporation
REGN,Regeneron Pharmaceuticals
CSX,CSX Corporation
FTNT,Fortinet
MNST,Monster Beverage
ADSK,Autodesk
PYPL,PayPal
WDAY,"Workday, Inc."
AEP,American Electric Power
IDXX,Idexx Laboratories
AXON,Axon Enterprise Inc.
DDOG,Datadog
WBD,Warner Bros. Discovery
ZS,Zscaler
NXPI,NXP Semiconductors
ROST,Ross Stores
PCAR,Paccar
EA,Electronic Arts
ROP,Roper Technologies
XEL,Xcel Energy
BKR,Baker Hughes
FAST,Fastenal
EXC,Exelon
TTWO,Take-Two Interactive
TEAM,Atlassian
CPRT,Copart
PAYX,Paychex
FANG,Diamondback Energy
CCEP,Coca-Cola Europacific Partners
KDP,Keurig Dr Pepper
CTSH,Cognizant
MCHP,Microchip Technology
GEHC,GE HealthCare
VRSK,Verisk
CSGP,CoStar Group
ODFL,Old Dominion Freight Line
KHC,Kraft Heinz
CHTR,Charter Communications
TTD,Trade Desk (The)
DXCM,DexCom
BIIB,Biogen
ON,Onsemi
CDW,CDW Corporation
GFS,GlobalFoundries
LULU,Lululemon Athletica
