Symbol,Name
AA,Alcoa Inc
AAPL,Apple Inc.
AAV,Avatex Corp (Old)
ABC (Bro.),American Broadcasting Cos Inc
ABI,Applied Biosystems Inc.
ABT,Abbott Laboratories
ACF (ACF),ACF Industries Inc
ACKH,Armstrong Holding Inc
ACV,Alberto-Culver Co.
ACY,American Cyanamid Co
AD (Ams),Amsted Industries Inc
ADM,Archer Daniels Midland
ADP,Automatic Data Processing
AEP,American Electric Power
AET,Aetna Inc.
AFN,Amerifin Corp
AGC,American General Insurance Co
AH (All),Allis Chalmers Corp
AHM,H. F. Ahmanson & Co.
AHS,American Hospital Supply Corp
AIG,American International Group
AL (Alc),Alcan Inc.
ALS (All),Allied Stores Corp
AMF,AMF Inc
AMI (Ame),American Medical Holdings
AMO,American Motors Corp
AMP (Old),Amp Inc.
AMR (AMR),AMR Corp.
AMT (Acme),Acme-Cleveland Corp
AMX (AMA),AMAX Inc.
AN (Amoco),Amoco Corp.
ANR (Ame),American Natural Resource Co
ANV,Aeroquip Vickers Inc
APO,Apollo Global Management
AR (Asa),Asarco Inc.
ARC (Atl),Atlantic Richfield Co
ARMK,Aramark Corp
AS,Armco Inc.
ASA,ASA Gold & Precious Metals Ltd
ASC (Ame),American Stores Co.
ASR,AMSTAR Corp
AST (Ame),American Standard
ATI,Allegheny Technologies Inc.
AVP,Avon Products Inc
AXP,American Express
BA,Boeing
BAC,Bank of America
BAC (Old),BankAmerica Corp. (Old)
BAX,Baxter International
BBL,Blue Bell Inc
BC,Brunswick Corp.
BCO,Brinks Co.
BCR,C. R. Bard Inc
BCW,Becor Western Inc
BDK,Black & Decker Manufacturing
BDX,Becton Dickinson
BEAM (Sun),Beam Suntory Inc
BF.B,Brown–Forman
BFI,Browning Ferris Industries Inc
BFO,BestFoods
BGG,Briggs & Stratton Corp
BKB,Bankboston Corp.
BKI (Bek),Beker Industries Corp
BKO,Baker International Corp
BMS,Bemis Company Inc
BMY,Bristol Myers Squibb
BNI,Burlington Northern Santa Fe Corp
BNL,Beneficial Corp.
BNSSA,BNS Holding Inc
BRY (Bea),Beatrice Company
BS,Bethlehem Steel Corp
BSET,Bassett Furniture Industries Inc
BT,Bankers Trust Corp.
BU,Brooklyn Union Gas Co
BUD (Anh),Anheuser-Busch Inc.
BUR,Burlington Industries Inc
BWA,BorgWarner Inc
BWY (Broa),Broadway Stores Inc
BX (Ben),Bendix Corp
C (Chrysler),Chrysler Corp.
CAL,Caleres Inc
CAT,Caterpillar Inc.
CB (Old),Chubb Corp. (Old)
CBB (Cal),Caliber System Inc
CBE,Cooper Industries plc
CBK (Con),Continental Bank Corp
CBM (Che),Chesebrough Ponds Inc
CBS (Inc),CBS Inc.
CBS (Old),CBS Corp. (Old)
CCB (Cap),Capital Cities/ABC Inc.
CCC,Continental Group Inc
CCI (Citi),Citicorp Inc (Old)
CCK,Crown Holdings Inc
CEG (Old),Constellation Energy Group Inc (Old)
CEM,Chemfirst Inc
CEN,Ceridian Corp.
CG,Columbia Energy Group
CGG,Chicago Pneumatic Tool Co
CHA,Champion International Corp
CHM,Champion Spark Plug
CHU,Church's Fried Chicken Inc
CI,Cigna
CIC,Continental Corp
CK (Col),Collins & Aikman Corp (Old)
CKL,Clark Equipment Co
CL,Colgate-Palmolive
CLN,Coleman Co
CLO,Coleco Industries
CLU (Clu),Cluett Peabody & Co Inc
CLX,Clorox
CMB,Chase Manhattan Corp. (Old)
CMI,Cummins
CMK,Carnation Company
CNA,CNA Financial Corp
CNG,Consolidated Natural Gas Co
CNT (Cen),Centel Corp
CNW,Con-Way Inc.
COE,Cone Mills Corp
COIN,Coinbase Global
COP,ConocoPhillips
COX,Cox Communications Inc
CPB,Campbell Soup Company
CR,Crane Co.
CRK (Cam),Campbell Red Lake Mines Ltd
CRWD,CrowdStrike
CS (Cities),Cities Service Co
CSC,Computer Sciences Corp.
CSP,Combustion Engineering Inc
CSR,Central & South West Corp
CSX,CSX Corporation
CTC,Continental Telecom Inc
CTCO (Cro),Cross & Trecker Corp
CTX,Centex Corp.
CUE (Qua),Quantum Chemical Corp
CVS,CVS Health
CVX,Chevron Corporation
CZ,Celanese Corp
DAL,Delta Air Lines
DAN,Dana Inc
DASH,DoorDash
DD,DuPont
DD (Old),DuPont Co (Old)
DDOG,Datadog
DE,Deere & Company
DEC,Digital Equipment Corp
DEN,Dennys Inc
DG (Dry),Associated Dry Goods Corp
DGN,Data General Corp.
DI,Dresser Industries Inc.
DIS,Walt Disney Company (The)
DJ,Dow Jones & Co. Inc.
DM (Dom),Dome Mines Ltd
DNB,Dun & Bradstreet Corp
DOC (Doc),Doctor Pepper Co
DPT,Datapoint Corp
DTE,DTE Energy
DUK,Duke Energy
EAF,Emery Air Freight Corp
ECH,Echlin Inc.
ECK,Eckerd Corp
ED,Consolidated Edison
EDS,Electronic Data Systems Corp
EFU,Eastern Enterprises
EIX,Edison International
ELG,El Paso Co
EMR,Emerson Electric
ENRNQ,Enron Corp.
ERIE,Erie Indemnity
ESM,Esmark Inc (Old)
ETN,Eaton Corporation
ETR,Entergy
EVY,Evans Products Co
EXC,Exelon
EXE,Expand Energy
F,Ford Motor Company
FBG,Faberge Inc
FBNI,Furniture Brands International
FBO,Federal Paper Board Inc
FCF (Fir),First Charter Financial
FDS (Fed),Federated Department Stores (Old)
FDX,FedEx
FE,FirstEnergy
FG (USF),USF&G Corp
FIR,Firestone Tire & Rubber Co
FJCC,Fedders Corp
FL,Foot Locker Inc.
FLC,R&B Falcon Corp
FLE,Fleetwood Enterprises Inc
FMC,FMC Corp
FNB (Fir),First Chicago Corp. (Old)
FPA,First Pennsylvania Corp
FTR (Frue),Fruehauf Corp
FWLT,Foster Wheeler AG
G (Gil),Gillette Co.
GAO,General American Oil Co
GAP,The Great Atlantic & Pacific Tea Co
GCO,Genesco Inc
GD,General Dynamics
GDDY,GoDaddy
GE,GE Aerospace
GEB,Gerber Products Co
GET,Getty Oil Co
GEV,GE Vernova
GF,General Foods Corp
GHB,Heileman (G.) Brewing Inc
GIS,General Mills
GLD (Gould),Gould Inc
GLM,Global Marine Inc
GLW,Corning Inc.
GM,General Motors
GO,Gulf Corp
GP,Georgia-Pacific Group
GPC,Genuine Parts Company
GQ,Grumman Corp
GR,Goodrich Corp.
GRA,W. R. Grace & Co
GRL,NextLevel Systems Inc
GSX,General Signal Corp
GT,The Goodyear Tire & Rubber Co
GTE (GTE),GTE Corp.
GWF,Great Western Financial Corp
GWO,Genesis Worldwide Inc
GWW,W. W. Grainger
H (Har),Harcourt General Inc.
HAL,Halliburton
HBJ,Harcourt Brace Jovanovich
HCA (Old),Hospital Corp of America
HD (Hudson),Hudson Bay Mining & Sme.
HDLM,Handleman Co.
HI (Hou),Household International Inc
HIA,Holiday Corp
HLT,Hilton Worldwide
HM,Homestake Mining Co
HMX,Hartmarx Corp
HNH,Handy & Harman Ltd
HNZ,H. J. Heinz Company
HON,Honeywell
HON (Old),Honeywell Inc. (Old)
HPC,Hercules Inc.
HPQ,HP Inc.
HSH,Hillshire Brands Co
HSY,Hershey Company (The)
HT (Hug),Hughes Tool Co
HUM,Humana
HWR,Hiram Walker Resources
HXN,Hexion Specialty Chemicals
HYST,Hyster Company
I (Fir),First Interstate Bancorporation
IBKR,Interactive Brokers Group
IBM,IBM
IDL,Ideal Basic Industries Inc
IFC (Int),Interfirst Corp
IFF,International Flavors & Fragrances
IIN (ITT),ITT Corp. (Original)
IK,Interlake Corp
INTC,Intel
IP,International Paper
JCP,J.C. Penney Co Inc
JNJ,Johnson & Johnson
JOL,Jonathan Logan Inc
JOY (Manuf.),Joy Manufacturing Co
JP,Jefferson-Pilot Corp.
JPM,JPMorgan Chase
JPM (Old),J. P. Morgan & Co. Inc (Old)
JWC,Jim Walter Corp
JWL (Jew),Jewel Companies Inc
K,Kellanova
KCC,Kaiser Cement Corp
KKR,KKR
KLU,Kaisertech Ltd
KM,Kmart Corp
KMB,Kimberly-Clark
KO,Coca-Cola Company (The)
KODK,Eastman Kodak Co.
KR,Kroger
KRA (Kra),Kraft Inc
KRI,Knight-Ridder Inc.
LCE,Lone Star Industries Inc
LHX,L3Harris
LII,Lennox International
LIT,Litton Industries Inc
LKS,Lucky Stores Inc
LLX,Louisiana Land & Exploration Co
LLY,Lilly (Eli)
LNC,Lincoln National Corp
LPX,Louisiana-Pacific Corp.
LST,Lowenstein M. Corp
LTC (Lea),Leaseway Transportation Corp (Old)
LVI,Levi Strauss & Co
MAI,MA.com Inc
MAS,Masco
MAT,Mattel Inc.
MAY,May Dept Stores
MB (Mil),Milton Bradley Co
MCA,MCA Inc
MCD,McDonald's
MCIC,MCI Communications Corp
MD (McD),McDonnell Douglas Corp.
MDC (Mar),Maryland Cup Corp
MDP,Meredith Corp.
MDR,McDermott Int'l Inc
MEA,Mead Corp.
MEE,Massey Energy Co.
MEL,Mellon Financial Corp
MER,Merrill Lynch & Co
MET (Metro),Metromedia Inc
MGM (UA),MGM/UA Entertainment Co
MGR (McG),McGraw Edison Co
MHC,Manufacturers Hanover Corp
MHS (Mar.),Marriott Corp.
MIS,Missouri Pacific Corp
MKG,Mallinckrodt Inc. (Old)
ML (Mar),Martin Marietta Corp
MLL,MacMillan Inc
MMM,3M
MNC (Mas),Masonite Corp
MO,Altria
MOB,Mobil Corp.
MOH (Moh),Mohasco Corp
MRK,Merck & Co.
MSA (Mes),Mesa Petroleum Co
MSI,Motorola Solutions
MST,Mercantile Stores Inc
MYG,Maytag Corp.
MZ,Milacron Inc.
MZ (Macy),Macy (R. H.) & Co (Old)
N (Inc),Inco Ltd.
NAC (Nat),National Can Corp
NAV,Navistar Int'l Corp
NB,Nabisco Brands Inc
NC,NACCO Industries Inc
NCR,NCR Corp.
NEE,NextEra Energy
NEM,Newmont
NES (Eng),New England Electric Systems
NG (Nat),National Gypsum Co (Old)
NL,NL Industries Inc
NMK,Niagara Mohawk Holdings Inc.
NSC,Norfolk Southern Railway
NSI (Norton),Norton Simon Inc
NSM (Nat),National Semiconductor
NT,Nortel Networks
NWA,Nortwest Airlines
NWT,Northwest Industries Inc
OAT,Quaker Oats Co
OC,Owens Corning
OI,Owens-Illinois Inc.
OKE,ONEOK
OM,Outboard Marine Corp.
OMX (Old),OfficeMax Inc (Old)
OVT,Overnite Transportation Co
PA (Pri),Primerica Corp
PABT,Pabst Brewing Co
PAS,Pepsiamericas Inc.
PBD,Peabody International Corp
PBI,Pitney Bowes Inc
PCAR,Paccar
PCG,PG&E Corporation
PCH,PotlatchDeltic Corp
PCI,Paramount Communications Inc
PD,Phelps Dodge Corp
PEG,Public Service Enterprise Group
PEL,PanEnergy Corp.
PEL (Texas),Texas Eastern Corp
PEP,PepsiCo
PET (Old),Pacific Enterprises
PFE,Pfizer
PG,Procter & Gamble
PGL,Peoples Energy Corp
PHA,Pharmacia Corp.
PIN (PSI),PSI Resources Inc
PLTR,Palantir Technologies
PN (Pan),Pan Am Corp
PPG,PPG Industries
PRD,Polaroid Corp
PSKY,Paramount Skydance Corp
PSY,Pillsbury Co
PVN,Providian Corp.
R (Uni),Uniroyal Inc
RAD,Rite Aid Corp.
RAL,Ralston Purina Co.
RAM (Ram),Ramada Inc
RCA,RCA Corp
RCC,Royal Crown Cos Inc
RD,Royal Dutch Petroleum
RDMN,Redman Industries Inc
RDS,"Revco, D. S. Inc"
REV,Revlon Inc
REX (Rex),Rexnord Inc
RJR,RJR Nabisco Inc
RLM,Reynolds Metals Co
RM (Rol),Rolm Corp
ROH,Rohm & Hass Co
ROK,Rockwell Automation
ROP,Roper Technologies
RS (Rep),Republic Steel Corp
RSH,RadioShack Corp.
RTN,Raytheon Co. (Old)
RTX,RTX Corporation
RYI,Ryerson Holding Corp
S,Sprint Corp
S (Sears),Sears Roebuck & Co
SA,Safeway Stores Inc
SAF,Safeco Corp.
SAI,Sunamerica Inc.
SB (Salomon),Salomon Inc.
SED,SEDCO Inc
SFA,Scientific-Atlanta Inc
SFF,Santa Fe Industries Inc.
SFN (SFN),SFN Companies Inc
SGN,Signal Companies Inc
SGP,Schering-Plough Corp.
SHW,Sherwin-Williams
SKB,Smithkline Beckman Corp
SKY,Skyline Champion Corp
SLB,Schlumberger
SMF (Sin),Singer Co.
SMI,Springs Industries Inc.
SNA,Snap-on
SNT,Sonat Inc.
SO,Southern Company
SOC (Sup),Superior Oil Co
SOLV,Solventum
SPGI,S&P Global
SPP,Scott Paper Co.
SQB,Squibb Corp
SQD,Square D Co
SRD,Standard Oil Co Ohio
SRL,Searle G. D. & Co
SRT (St.),St. Regis Corp
STF,Stauffer Chemical Co
STK,Storage Technology Corp
STN (J. ),J. P. Stevens & Co
STO,Stone Container Corp.
STY,Sterling Drug Inc
SUN (Sun),Sunoco Inc (Old)
SUO,Shell Oil Co
SVC (Sto),Stokely-Van Camp Inc
SW,Smurfit WestRock
SWK,Stanley Black & Decker
SX,Southern Pacific Co
SY (Spe),Sperry Corp
T (Old),AT&T Corp. (Old)
TA,Transamerica Corp.
TAP,Molson Coors Beverage Company
TEK,Tektronix Inc.
TEN,Tenneco Inc.
TFB,Taft Broadcasting Co
TGNA,TEGNA Inc
TGR,Tiger International
TGT,Target Corporation
THC,Tenet Healthcare Corp.
TIC,Travelers Corp
TKA,Tonka Corp
TKO,TKO Group Holdings
TKR,Timken Co.
TMC.A,Times Mirror Co Share
TNB,Thomas & Betts Corp
TPL,Texas Pacific Land Corporation
TRA (Tra),Trane Company
TRV,Travelers Companies (The)
TRW (TRW),TRW Inc.
TT,Trane Technologies
TTD,"The Trade Desk, Inc."
TWX (Old),Time Warner Inc. (Old)
TX,Texaco Inc.
TXG,Texas Gas Resources Corp
TXN,Texas Instruments
TXO,Texas Oil & Gas Corp
TXT,Textron
TXU,TXU Corp.
TXU (Gas),TXU Gas Co.
TYM,Tymshare Inc
UAL (Old),UAL Corp
UCC,Union Camp Corp.
UCL,Unocal Co
UCM,Unicom Corp Holding Co
UH,U.S. Home Corp
UIS,Unisys Corp.
UK,Union Carbide Corp Holding Co
UN,Unilever N.V.
UNP,Union Pacific Corporation
UPJ,Upjohn Co.
USG,USG Corp
USH,USLife Corp.
VAT,Varity Corp.
VEL,Virginia Electric & Power Co
VO,Seagram Co. Ltd.
VST,Vistra Corp.
WANG,Wang Laboratories Inc
WCI,Warner Communications Inc
WDAY,"Workday, Inc."
WEN,Wendy's International
WFC,Wells Fargo
WFI,Wheelabrator Frye Inc
WHR,Whirlpool Corp
WIN (W-D),Winn-Dixie Stores Inc (Old)
WLA,Warner Lambert Pharmaceutical Co
WLB,Westmoreland Coal Co
WMB,Williams Companies
WMT,Walmart
WMX,Waste Management Inc. (Old)
WPC (Wis),Wisconsin Electric Power
WPM,West Point-Pepperell
WSM,Williams-Sonoma
WSN,Western Company of North America
WSW,White Consolidated Indust. Inc
WWY,Wrigley Co.
WY,Weyerhaeuser
WYE,Wyeth Corp.
X (Old),USX Corporation
XEL,Xcel Energy
XLO,Ex-Cell-O Corp
XOM,ExxonMobil
XRX,Xerox Holdings Corp
XYZ,"Block, Inc."
YRCW,YRC Worldwide Inc.
ZB,Crown Zellerbach Corp
ZE,Zenith Electronics Corp
ZRN,Zurn Industries Inc
